/////////////////////////////////////////////////////////////////////////////////,,,,,,,,
Hash Suite Droid 1.2,samsung klteattactive SAMSUNG-SM-G870A,Tue Nov 10 23:55:44 GMT-05:00 2015,,,,,,
,,,,,,,,
Name,Cores,Freq,Other Information,,,,,
CPU,4,2.46GHz,Android 5.0,,,,,
Adreno 330,4,578MHz,Build 10/28/14,,,,,
,,,,,,,,
Format,1,10,100,1000,10^4,2^16,10^5,10^6
LM,66.6M,65.9M,59.9M,54.9M,47.3M,40.5M,37.9M,21.8M
,15.9M,16.3M,16.3M,15.5M,15.6M,15.2M,14.8M,11.5M
NTLM,66.5M,67.6M,65.0M,60.9M,50.9M,46.2M,42.0M,23.7M
,215M,127M,128M,113M,103M,83.9M,85.1M,41.5M
Raw-MD5,44.1M,45.9M,42.7M,41.9M,37.9M,33.5M,31.6M,21.2M
,125M,72.2M,75.6M,70.8M,61.3M,42.9M,43.1M,29.4M
Raw-SHA1,21.7M,21.0M,20.0M,19.3M,18.0M,16.8M,16.4M,13.6M
,44.6M,35.8M,36.2M,30.9M,22.6M,19.7M,20.1M,12.6M
Raw-SHA256,9.35M,9.65M,9.24M,9.16M,8.72M,8.33M,8.21M,7.46M
,17.0M,12.3M,12.6M,8.91M,6.57M,6.22M,6.29M,5.25M
Raw-SHA512,3.54M,3.55M,3.40M,3.37M,3.15M,3.16M,3.12M,3.02M
,2.44M,2.04M,2.05M,2.09M,1.94M,1.93M,1.97M,1.80M
,1,4,16,64,,,,
DCC,33.8M,14.6M,3.83M,925K,,,,
,57.8M,25.7M,4.19M,1.13M,,,,
DCC2,1.08K,252,55,12,,,,
,1.60K,396,99,24,,,,
WPA-PSK,1.39K,325,80,18,,,,
,1.94K,486,121,30,,,,
BCRYPT,1.15K,294,71,17,,,,
,43,11,3,1,,,,
